bodypart,Modality,Laterality,RecID,Recommendable
Abd/Pelv 1st Order Arteries,Calcium Scoring,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Calcium Scoring,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Calcium Scoring,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Calcium Scoring,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Calcium Scoring,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Conventional Tomography,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Conventional Tomography,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Conventional Tomography,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Conventional Tomography,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Conventional Tomography,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CT,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CT,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CT,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CT,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CT,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CTA,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CTA,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CTA,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CTA,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,CTA,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MR,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MR,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MR,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MR,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MR,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRA,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRA,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRA,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRA,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRA,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Flow Mapping,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Flow Mapping,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Flow Mapping,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Flow Mapping,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Flow Mapping,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Functional,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Functional,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Functional,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Functional,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,MRI - Functional,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Spectroscopy,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Spectroscopy,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Spectroscopy,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Spectroscopy,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,Spectroscopy,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 1st Order Arteries,US,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US,Left,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US,Right,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US - Duplex,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US - Duplex,Left,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US - Duplex,Right,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US - Duplex,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US - Duplex,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transcranial,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transcranial,Left,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transcranial,Right,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transcranial,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transcranial,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transrectal,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transrectal,Left,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transrectal,Right,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transrectal,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US • Transrectal,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US Duplex,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US Duplex,Left,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US Duplex,Right,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US Duplex,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,US Duplex,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,Vascular Lab,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,Vascular Lab,Left,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,Vascular Lab,Right,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,Vascular Lab,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 1st Order Arteries,Vascular Lab,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,Calcium Scoring,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Calcium Scoring,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Calcium Scoring,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Calcium Scoring,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Calcium Scoring,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Conventional Tomography,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Conventional Tomography,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Conventional Tomography,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Conventional Tomography,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Conventional Tomography,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CT,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CT,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CT,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CT,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CT,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CTA,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CTA,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CTA,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CTA,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,CTA,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MR,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MR,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MR,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MR,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MR,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRA,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRA,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRA,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRA,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRA,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Flow Mapping,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Flow Mapping,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Flow Mapping,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Flow Mapping,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Flow Mapping,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Functional,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Functional,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Functional,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Functional,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,MRI - Functional,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Spectroscopy,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Spectroscopy,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Spectroscopy,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Spectroscopy,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,Spectroscopy,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 2nd Order Arteries,US,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US,Left,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US,Right,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US - Duplex,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US - Duplex,Left,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US - Duplex,Right,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US - Duplex,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US - Duplex,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transcranial,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transcranial,Left,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transcranial,Right,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transcranial,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transcranial,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transrectal,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transrectal,Left,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transrectal,Right,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transrectal,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US • Transrectal,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US Duplex,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US Duplex,Left,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US Duplex,Right,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US Duplex,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,US Duplex,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,Vascular Lab,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,Vascular Lab,Left,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,Vascular Lab,Right,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,Vascular Lab,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 2nd Order Arteries,Vascular Lab,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,Calcium Scoring,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Calcium Scoring,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Calcium Scoring,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Calcium Scoring,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Calcium Scoring,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Conventional Tomography,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Conventional Tomography,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Conventional Tomography,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Conventional Tomography,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Conventional Tomography,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CT,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CT,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CT,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CT,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CT,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CTA,Bilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CTA,Left,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CTA,Right,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CTA,Unilateral,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,CTA,Unspecified,6451,CTA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MR,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MR,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MR,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MR,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MR,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRA,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRA,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRA,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRA,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRA,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Flow Mapping,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Flow Mapping,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Flow Mapping,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Flow Mapping,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Flow Mapping,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Functional,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Functional,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Functional,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Functional,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,MRI - Functional,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Spectroscopy,Bilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Spectroscopy,Left,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Spectroscopy,Right,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Spectroscopy,Unilateral,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,Spectroscopy,Unspecified,6367,MRA Abdomen Pelvis
Abd/Pelv 3rd Order Arteries,US,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US,Left,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US,Right,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US,Unilateral,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US,Unspecified,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US - Duplex,Bilateral,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US - Duplex,Left,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US - Duplex,Right,6753,US Abdomen Vasculature
Abd/Pelv 3rd Order Arteries,US - Duplex,Unilateral,6753,US Abdomen Vasculature
